web-scraper-order,web-scraper-start-url,School Name,URL,State
"1647724905-1375","https://searchenginesmarketer.com/company/resources/university-college-list/","Wittenberg University","http://wittenberg.edu","OH"
"1647724905-193","https://searchenginesmarketer.com/company/resources/university-college-list/","Los Angeles Trade-Tech Community College","http://lattc.edu","CA"
"1647724905-162","https://searchenginesmarketer.com/company/resources/university-college-list/","California State University Fullerton","http://fullerton.edu","CA"
"1647724905-759","https://searchenginesmarketer.com/company/resources/university-college-list/","Massachusetts College of Art and Design","http://massart.edu","MA"
"1647724905-192","https://searchenginesmarketer.com/company/resources/university-college-list/","Las Positas College","http://laspositascollege.edu","CA"
"1647724905-835","https://searchenginesmarketer.com/company/resources/university-college-list/","United States Naval Academy","http://usna.edu","MD"
"1647724905-1743","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Texas of the Permian Basin","http://utpb.edu","TX"
"1647724905-1708","https://searchenginesmarketer.com/company/resources/university-college-list/","Texas A&M International University","http://tamiu.edu","TX"
"1647724905-100","https://searchenginesmarketer.com/company/resources/university-college-list/","California Baptist University","http://calbaptist.edu","CA"
"1647724905-1004","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Southern Mississippi","http://usm.edu","MS"
"1647724905-1883","https://searchenginesmarketer.com/company/resources/university-college-list/","Milwaukee School of Engineering","http://msoe.edu","WI"
"1647724905-877","https://searchenginesmarketer.com/company/resources/university-college-list/","Hillsdale College","http://hillsdale.edu","MI"
"1647724905-952","https://searchenginesmarketer.com/company/resources/university-college-list/","Crowder College","http://crowder.edu","MO"
"1647724905-634","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Evansville","http://evansville.edu","IN"
"1647724905-74","https://searchenginesmarketer.com/company/resources/university-college-list/","Rio Salado College","http://riosalado.edu","AZ"
"1647724905-1409","https://searchenginesmarketer.com/company/resources/university-college-list/","Clatsop Community College","http://clatsopcc.edu","OR"
"1647724905-1467","https://searchenginesmarketer.com/company/resources/university-college-list/","Gettysburg College","http://gettysburg.edu","PA"
"1647724905-1354","https://searchenginesmarketer.com/company/resources/university-college-list/","Ohio Dominican University","http://ohiodominican.edu","OH"
"1647724905-888","https://searchenginesmarketer.com/company/resources/university-college-list/","Marygrove College","http://marygrove.edu","MI"
"1647724905-1244","https://searchenginesmarketer.com/company/resources/university-college-list/","Le Moyne","http://lemoyne.edu","NY"
"1647724905-564","https://searchenginesmarketer.com/company/resources/university-college-list/","Illinois Wesleyan University","http://iwu.edu","IL"
"1647724905-1064","https://searchenginesmarketer.com/company/resources/university-college-list/","Sandhills Community College","http://sandhills.edu","NC"
"1647724905-157","https://searchenginesmarketer.com/company/resources/university-college-list/","Fresno Pacific University","http://fresno.edu","CA"
"1647724905-402","https://searchenginesmarketer.com/company/resources/university-college-list/","Keiser University","http://keiseruniversity.edu","FL"
"1647724905-282","https://searchenginesmarketer.com/company/resources/university-college-list/","University of California Santa Cruz","http://ucsc.edu","CA"
"1647724905-439","https://searchenginesmarketer.com/company/resources/university-college-list/","University of West Florida","http://uwf.edu","FL"
"1647724905-185","https://searchenginesmarketer.com/company/resources/university-college-list/","Los Angeles Community College District","http://laccd.edu","CA"
"1647724905-38","https://searchenginesmarketer.com/company/resources/university-college-list/","Hendrix College","http://hendrix.edu","AR"
"1647724905-286","https://searchenginesmarketer.com/company/resources/university-college-list/","University of California","http://universityofcalifornia.edu","CA"
"1647724905-567","https://searchenginesmarketer.com/company/resources/university-college-list/","The John Marshall Law School","http://jmls.edu","IL"
"1647724905-1482","https://searchenginesmarketer.com/company/resources/university-college-list/","La Salle University","http://lasalle.edu","PA"
"1647724905-950","https://searchenginesmarketer.com/company/resources/university-college-list/","Columbia College","http://ccis.edu","MO"
"1647724905-622","https://searchenginesmarketer.com/company/resources/university-college-list/","Waubonsee Community College","http://waubonsee.edu","IL"
"1647724905-460","https://searchenginesmarketer.com/company/resources/university-college-list/","Georgia Institute of Technology","http://gatech.edu","GA"
"1647724905-619","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Illinois","http://uillinois.edu","IL"
"1647724905-534","https://searchenginesmarketer.com/company/resources/university-college-list/","The College of Idaho","http://collegeofidaho.edu","ID"
"1647724905-1185","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Nevada Las Vegas","http://unlv.edu","NV"
"1647724905-901","https://searchenginesmarketer.com/company/resources/university-college-list/","Wayne State","http://wayne.edu","MI"
"1647724905-380","https://searchenginesmarketer.com/company/resources/university-college-list/","Broward College","http://broward.edu","FL"
"1647724905-679","https://searchenginesmarketer.com/company/resources/university-college-list/","McPherson College","http://mcpherson.edu","KS"
"1647724905-850","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Maine Fort Kent","http://umfk.edu","ME"
"1647724905-72","https://searchenginesmarketer.com/company/resources/university-college-list/","Pima Community College","http://pima.edu","AZ"
"1647724905-584","https://searchenginesmarketer.com/company/resources/university-college-list/","Monmouth College","http://monmouthcollege.edu","IL"
"1647724905-747","https://searchenginesmarketer.com/company/resources/university-college-list/","Endicott College","http://endicott.edu","MA"
"1647724905-1368","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Cincinnati Clermont","http://ucclermont.edu","OH"
"1647724905-860","https://searchenginesmarketer.com/company/resources/university-college-list/","Andrews University","http://andrews.edu","MI"
"1647724905-242","https://searchenginesmarketer.com/company/resources/university-college-list/","Santa Ana College","http://sac.edu","CA"
"1647724905-1817","https://searchenginesmarketer.com/company/resources/university-college-list/","Norwich  University","http://norwich.edu","VT"
